state,county,tract,geoid,f_broadband,f_computer,f_ba,f_black,f_hispanic,log_mhi,mhi,population,households,broadband,computer,black,hispanic,mhi.1,ba,den_computers,n_computer,n_broadband,den_black,n_black,den_hispanic,n_hispanic,den_ba,n_ba,nhh_computer,nhh_broadband,nhh_computer_any_internet,nhh_computer_and_dialup,nhh_computer_and_broadband,nhh_computer_no_internet,nhh_no_computer,den_age,n_children,n_children_computer,n_children_computer_and_dialup,n_children_computer_and_broadband,n_children_computer_no_internet,n_children_no_computer,state_lkp
12,1,2202,12001002202,0.9259999999999999,0.9740000000000001,0.47200000000000003,0.134,0.059000000000000004,11.42,90788.0,6508.0,2131.0,92.6,97.4,13.4,5.9,90788.0,47.2,2131.0,2075.0,1973.0,6508.0,874.0,6508.0,383.0,4188.0,1975.0,2075,1973,2075,0,1973,102,56,6508,1640,1640,0,1582,58,0,12
12,1,2204,12001002204,0.9390000000000001,0.99,0.584,0.055999999999999994,0.07400000000000001,11.39,88563.0,11379.0,4081.0,93.9,99.0,5.6,7.4,88563.0,58.4,4081.0,4041.0,3833.0,11379.0,635.0,11379.0,840.0,7900.0,4610.0,4041,3833,4041,0,3833,208,40,11324,2845,2845,0,2747,98,0,12
12,1,2205,12001002205,0.987,0.987,0.718,0.125,0.071,11.45,93514.0,12036.0,4132.0,98.7,98.7,12.5,7.1,93514.0,71.8,4132.0,4078.0,4078.0,12036.0,1509.0,12036.0,851.0,7956.0,5716.0,4078,4078,4078,0,4078,0,54,12031,2859,2859,0,2859,0,0,12
12,1,2207,12001002207,0.9590000000000001,0.9790000000000001,0.556,0.051,0.066,11.58,106792.0,3702.0,1259.0,95.9,97.9,5.1,6.6,106792.0,55.6,1259.0,1233.0,1207.0,3702.0,190.0,3702.0,245.0,2595.0,1444.0,1233,1207,1233,0,1207,26,26,3694,911,911,0,911,0,0,12
12,1,2208,12001002208,0.9520000000000001,0.972,0.603,0.047,0.131,11.66,116250.0,2804.0,880.0,95.2,97.2,4.7,13.1,116250.0,60.3,880.0,855.0,838.0,2804.0,131.0,2804.0,368.0,1949.0,1176.0,855,838,855,6,838,11,25,2804,578,578,0,571,7,0,12
12,1,2209,12001002209,0.888,0.9490000000000001,0.498,0.10400000000000001,0.053,11.3,80945.0,9069.0,3332.0,88.8,94.9,10.4,5.3,80945.0,49.8,3332.0,3162.0,2960.0,9069.0,945.0,9069.0,479.0,6477.0,3224.0,3162,2960,3162,0,2960,202,170,9069,2285,2237,0,2118,119,48,12
12,1,2210,12001002210,0.81,0.865,0.299,0.161,0.12,11.11,66530.0,4646.0,1617.0,81.0,86.5,16.1,12.0,66530.0,29.9,1617.0,1398.0,1310.0,4646.0,749.0,4646.0,558.0,3135.0,938.0,1398,1310,1398,0,1310,88,219,4636,1241,1241,0,1241,0,0,12
12,1,2217,12001002217,0.878,0.919,0.27699999999999997,0.41600000000000004,0.145,10.48,35525.0,5660.0,2152.0,87.8,91.9,41.6,14.5,35525.0,27.7,2152.0,1977.0,1890.0,5660.0,2352.0,5660.0,821.0,2911.0,807.0,1977,1890,1977,0,1874,103,175,5660,1471,1471,0,1399,72,0,12
12,1,2218,12001002218,0.767,0.797,0.204,0.575,0.125,10.48,35500.0,1733.0,794.0,76.7,79.7,57.5,12.5,35500.0,20.4,794.0,633.0,609.0,1733.0,996.0,1733.0,217.0,1009.0,206.0,633,609,633,0,605,28,161,1733,499,335,0,320,15,164,12
12,1,2219,12001002219,0.826,0.961,0.36700000000000005,0.34,0.13,10.6,40279.0,6438.0,2343.0,82.6,96.1,34.0,13.0,40279.0,36.7,2343.0,2251.0,1936.0,6438.0,2188.0,6438.0,836.0,3841.0,1410.0,2251,1936,2251,0,1936,315,92,6290,1732,1645,0,1508,137,87,12
12,1,2220,12001002220,0.826,0.845,0.373,0.264,0.079,10.81,49688.0,2292.0,962.0,82.6,84.5,26.4,7.9,49688.0,37.3,962.0,813.0,795.0,2292.0,605.0,2292.0,182.0,1639.0,611.0,813,795,813,5,795,13,149,2286,327,302,0,302,0,25,12
